work_order_number,type,summary,labor_cost,parts_cost,description
60,ServiceTask,Electrical System (Miscellaneous),0.0,0.0,
60,ServiceTask,Neutral Safety Switch Test,0.0,0.0,
62,ServiceTask,Engine Coolant Drain & Refill,0.0,0.0,
62,ServiceTask,Radiator Hose Replacement,0.0,0.0,
62,ServiceTask,Rear Brakes & Drums,0.0,0.0,
62,ServiceTask,Exterior Lighting Inspect,0.0,0.0,
62,ServiceTask,Wheel Alignment,0.0,0.0,
62,ServiceTask,HVAC (Miscellaneous),0.0,0.0,
64,ServiceTask,Cylinder Head Gasket Replacement,0.0,0.0,head gasket leaks combustion pressure into the cooling system
64,ServiceTask,Engine Coolant Drain & Refill,0.0,0.0,Drain cooling system to replace head gasket
64,ServiceTask,Engine Coolant Thermostat Replacement,0.0,0.0,Replaced the thermostat from a preventative maintenance standpoint
65,ServiceTask,HVAC (Miscellaneous),0.0,0.0,"A/C compressor clutch has failed and locked up
Recover refrigerant removed and replaced compressor and charge system"
65,ServiceTask,Engine Drive Belt Replacement,0.0,0.0,replace worn drive belt from failed A/C compressor 
66,ServiceTask,Headlamp Bulb Replacement,0.0,0.0,lights out on stick
66,ServiceTask,Admin/Misc Charges,0.0,0.0,clean in and outside of equipment
67,ServiceTask,Air Brake Camshaft Inspect,0.0,0.0,inspect and adjust brakes
67,ServiceTask,Engine Oil & Filter Replacement,0.0,0.0,
67,ServiceTask,Fuel Filter Replacement,0.0,0.0,
67,ServiceTask,Air Brake Slack Adjuster Lubricate,0.0,0.0,replace worn slack adjusters and lubricate
65,ServiceTask,Body & Frame (Miscellaneous),0.0,0.0,Repair broken grab handle and straighten out stairs
68,ServiceTask,Replaced Track Chains and Sprockets,0.0,0.0,""
69,ServiceTask,Engine Oil & Filter Replacement,0.0,0.0,extend the breather tube to the bottom of the front axle
69,ServiceTask,Engine Wiring Harness Inspect,0.0,0.0,Replace bad engine harness
69,ServiceTask,Fuel Filter Replacement,0.0,0.0,
69,ServiceTask,Engine Drive Belt Replacement,0.0,0.0,
69,ServiceTask,Front Suspension (Miscellaneous),0.0,0.0,Driver side leaf pack has shifted causing misalignment 
69,ServiceTask,Engine Crankcase Breather Tube Inspect,0.0,0.0,
68,ServiceTask,Body & Frame (Miscellaneous),0.0,0.0,"pins and bushings on the quick change and thumb
also straighten out bent thumb"
71,ServiceTask,Throttle Linkage Inspect,0.0,0.0,"Throttle climbs up on its own
Replace throttle potentiometer"
68,ServiceTask,air seat (Miscellaneous),0.0,0.0,Operators chair air adjuster is inoperable 
68,ServiceTask,Body (Miscellaneous),0.0,0.0,Blade cylinder protector plate is bent and damaged
67,ServiceTask,Brake Shoes Replacement,0.0,0.0,Replace Passenger side rear brake shoes and roller and springs
62,ServiceTask,Front Brakes & Drums,0.0,0.0,
72,ServiceTask,Shock or Strut Replacement,0.0,0.0,front struts are bad
72,ServiceTask,Wheel Bearing Replacement,0.0,0.0,Driver's front wheel bearing is bad
72,ServiceTask,Spark Plugs Replacement,0.0,0.0,""
72,ServiceTask,Engine Oil & Filter Replacement,0.0,0.0,
72,ServiceTask,Engine Air Filter Replacement,0.0,0.0,
73,ServiceTask,Engine Oil & Filter Replacement,0.0,0.0,
73,ServiceTask,Engine Air Filter Replacement,0.0,0.0,
73,ServiceTask,Fuel System Service,0.0,0.0,
73,ServiceTask,Underbody Clean,0.0,0.0,Full detail
74,ServiceTask,Underbody Clean,0.0,0.0,full detail
75,ServiceTask,Exhaust/Emissions (Miscellaneous),0.0,0.0,bank 2 sensor 2 is out of range 
76,ServiceTask,Engine Oil & Filter Replacement,0.0,0.0,
76,ServiceTask,Fuel Filter Replacement,0.0,0.0,
76,ServiceTask,Engine Air Filter Replacement,0.0,0.0,
76,ServiceTask,Drive Axle Assembly Drain & Refill,0.0,0.0,"Drained diff and found one of the fill plugs was stripped out and needs to be replaced. Diff breather and overfill was missing and leaking all over the to the housing.
Order new plug for the fill port on the rear diff"
76,ServiceTask,Automatic Transmission Leak Inspection,0.0,0.0,Transmission has a bad leak coating the case with fluid and dirt. clean and locate the leak to make repairs needed.
74,ServiceTask,Engine Oil & Filter Replacement,0.0,0.0,
74,ServiceTask,Fuel Filter Replacement,0.0,0.0,
74,ServiceTask,Engine Air Filter Replacement,0.0,0.0,
77,ServiceTask,Engine Air Filter Replacement,0.0,0.0,
77,ServiceTask,Engine Oil & Filter Replacement,0.0,0.0,
77,ServiceTask,Fuel Filter Replacement,0.0,0.0,
77,ServiceTask,"Body Latches, Locks & Hinges Lubricate",0.0,0.0,inspect body for damage and make repairs
77,ServiceTask,Fuel System Inspect,0.0,0.0,"Found rust in the fuel filter housing and inspected the fuel tank to find rust at the filler neck. Needs further diag for repairs to be made.
Equipment is able to return to work"
78,ServiceTask,Electrical System (Miscellaneous),0.0,0.0,
79,ServiceTask,Engine Air Filter Replacement,0.0,0.0,
79,ServiceTask,Engine Oil & Filter Replacement,0.0,0.0,
79,ServiceTask,Brake Inspection,0.0,0.0,
80,ServiceTask,Fuel Filter Replacement,0.0,0.0,
80,ServiceTask,Engine Air Filter Replacement,0.0,0.0,
80,ServiceTask,Engine Oil & Filter Replacement,0.0,0.0,
81,ServiceTask,Front Drive Axle Assembly Drain & Refill,0.0,0.0,
81,ServiceTask,Front Drive Axle Assembly Inspect,0.0,0.0,Swap front axle out with known working axle 
76,ServiceTask,Front Drive Axle Assembly Inspect,0.0,0.0,
81,ServiceTask,Tire Replacement,0.0,0.0,Swap all four wheels and tires around
81,ServiceTask,Body & Frame (Miscellaneous),0.0,0.0,Replace forks suited for the size of the lift
82,ServiceTask,Engine Assembly Replacement,0.0,0.0,swap new motor into unit and test operation
82,ServiceTask,Fan Pulley and Belts Inspection,0.0,0.0,
83,ServiceTask,Fuel System Inspect,0.0,0.0,"No start, no fuel shut operation"
83,ServiceTask,Tires (Miscellaneous),0.0,0.0,Front right tire flat
84,ServiceTask,wiper motor replacement,0.0,0.0,
84,ServiceTask,Replace Broken Rock Guards,0.0,0.0,
85,ServiceTask,fuel shut off solenoid,0.0,0.0,
85,ServiceTask,Electrical System (Miscellaneous),0.0,0.0,No Start issue
86,ServiceTask,Drive Axle Assembly Inspect,0.0,0.0,Center axle right side wheel seal leaking. Removed wheel hub drum assembly and inspect brakes. Replaced the bad wheel seal and cleaned the brake shoes and the drum. installed and torqued the hub. filled diff and test drove to verify the repairs made. pressure washed the wheels and tires after service. 
87,ServiceTask,Hyd Lift Cylinder,0.0,0.0,"Right side lift cylinder is leaking from a pin hole in the weld
Replaced cylinder and filled hyd fluid"
85,ServiceTask,Battery Service,0.0,0.0,Charge batteries and clean up battery box. new tie downs and terminals
87,ServiceTask,HVAC (Miscellaneous),0.0,0.0,"No blower motor or heat
Replaced the relay inside of the main distribution center "
