Fleetio ID,Vehicle Name,Date,Meter Type,Meter Value,Meter Unit,Void,Auto Void Reason,Meter Source,Created On (Pacific Time (US & Canada)),Updated On (Pacific Time (US & Canada)),Vehicle Group,Vehicle Year,Vehicle Make,Vehicle Model,Vehicle Trim,Vehicle Type,Vehicle Status,Vehicle VIN/SN,Date Rental Rates Updated,Rental Rate Description,Hourly Rental Rate,Daily Rental Rate,Weekly Rental Rate,Monthly Rental Rate,Drain Plug Size,Napa Oil Filter (capacity),Napa Fuel Filter,NAPA Air Filter (Outer),NAPA Air Filter (Inner),NAPA Fuel/Water Separator,NAPA Coolant Filter,NAPA Hydraulic Filter,NAPA Transmission Filter,NAPA Fan Belt,NAPA AC Belt,Antifreeze,Cost to Replace,Sold Price,Sold Date
1382493201,EX12,09/14/2026,Primary,5686.0,hr,FALSE,,Manual,09/14/2026 06:11:56 AM,09/14/2026 06:11:56 AM,,2016,Caterpillar,325FL CR,,Excavator,Active,CAT0325FEXAA00419,,"","","","","","","","","","","","","","","","","","","",
1382491429,WL1,09/14/2026,Primary,14723.0,hr,FALSE,,Manual,09/14/2026 06:08:31 AM,09/14/2026 06:08:31 AM,,2008,John Deere,624J,,Wheel Loader,Active,DW624JZ617237,,"",$187.00,$748.00,"$3,019.00","$8,738.00","",7750S - 6 Gal,3977 / 3978,6922,6923,"","","","","","","","","",
1382490248,EX11,09/14/2026,Primary,3770.0,hr,FALSE,,Manual,09/14/2026 06:06:36 AM,09/14/2026 06:06:36 AM,,2018,Caterpillar,320GC,,Excavator,Active,CAT320GCKKTN00183,,"","","","","","","","","","","","","","","","","","","",
1382489042,BH4,09/14/2026,Primary,5437.0,hr,FALSE,,Manual,09/14/2026 06:04:37 AM,09/14/2026 06:04:37 AM,,2006,John Deere,310SG,,Backhoe,Active,TO310SG960924,,"",$77.50,$310.00,"$1,220.00","$3,660.00","",7750S - 3.25 Gal,3668,6562,6569,"","",7624,7201,"","","","","",
1382488569,FL9,09/14/2026,Primary,5648.0,hr,FALSE,,Manual,09/14/2026 06:03:35 AM,09/14/2026 06:03:35 AM,,2008,JLG,G10-55A,,Forklift,Active,016003708,,"","","","","","","","","","","","","","","","","","","",
1382468960,FL6,09/14/2026,Primary,4796.0,hr,FALSE,,Manual,09/14/2026 05:26:14 AM,09/14/2026 05:26:14 AM,,2010,Skytrak,10054,,Forklift,Active,160039212,,"",$96.00,$550.00,"$1,536.00","$5,376.00","",7182,"3732, 3682","","","","","","","","","","","",
1382459121,BL7,09/14/2026,Primary,4825.0,hr,FALSE,,Manual,09/14/2026 05:10:09 AM,09/14/2026 05:10:09 AM,,2015,Genie,S-60X,,Boom Lift,Active,S60X15A-29786,,"","","","","","","","","","","","","","","","","","","",
1382458268,FL5,09/14/2026,Primary,8285.0,hr,FALSE,,Manual,09/14/2026 05:08:34 AM,09/14/2026 05:08:34 AM,,2013,JLG,G12-55A,,Forklift,Active,160048663,,"",$96.00,$550.00,"$1,536.00","$5,376.00","",7182,Fleetguard FF 63009,AF55021,AF55312,"","","","","","","","","",
1382457613,RL8,09/14/2026,Primary,750.0,hr,FALSE,,Manual,09/14/2026 05:07:52 AM,09/14/2026 05:07:52 AM,,2011,HAMM,HD12,,Roller,Active,H2001478,,"","","","","","","","","","","","","","","","","","","",
1382456210,ME7,09/14/2026,Primary,5454.0,hr,FALSE,,Manual,09/14/2026 05:06:39 AM,09/14/2026 05:06:39 AM,,2018,Caterpillar,305E2 CRCB,,Mini Excavator,Active,0H5M07082,,"",$102.00,$415.00,"$1,680.00","$5,032.00","","",600586 / CAT 363-5819 Incline,9462,9463 / CAT 415-2593,"","","","","","","","","",
1382454299,BH1,09/14/2026,Primary,4524.0,hr,FALSE,,Manual,09/14/2026 05:02:59 AM,09/14/2026 05:02:59 AM,,2007,Caterpillar,420E,,Backhoe,Active,CAT0420ECHLS04735,,"",$92.00,$365.00,"$1,351.00","$4,043.00","",1459,3609,9108,9109,"","","","","","","","","",
1349262311,ST5,08/18/2026,Primary,203144.0,mi,FALSE,,Service Entry #53643111,08/18/2026 02:05:10 PM,08/18/2026 02:05:10 PM,Fleet,2011,RAM,5500,,Service Truck,Active,3D6WU7CL4BG500622,,"",$102.00,$415.00,"$1,680.00","$5,032.00","",7620,"","","","","","","","","","","","",
1349262272,ST5,08/18/2026,Primary,203144.0,mi,FALSE,,Work Order #118,08/18/2026 02:05:07 PM,08/18/2026 02:05:07 PM,Fleet,2011,RAM,5500,,Service Truck,Active,3D6WU7CL4BG500622,,"",$102.00,$415.00,"$1,680.00","$5,032.00","",7620,"","","","","","","","","","","","",
1347464174,ST5,08/18/2026,Primary,203144.0,mi,FALSE,,Work Order #118,08/17/2026 07:12:25 AM,08/18/2026 02:05:07 PM,Fleet,2011,RAM,5500,,Service Truck,Active,3D6WU7CL4BG500622,,"",$102.00,$415.00,"$1,680.00","$5,032.00","",7620,"","","","","","","","","","","","",
1344959755,DT1,08/14/2026,Primary,335705.0,mi,FALSE,,Work Order #117,08/14/2026 09:56:44 AM,08/14/2026 09:56:44 AM,Fleet,2007,Kenworth,W900,,Dump Truck,Active,1NKWXB0X07R159782,,"",$131.00,$525.00,"$2,090.00","$5,940.00","",1792 - 9 Gal,3412 & 3674,"","","",4070,"","","","","","","",
1313848462,ME7,07/21/2026,Primary,5302.0,hr,FALSE,,Manual,07/21/2026 07:27:16 AM,07/21/2026 07:27:16 AM,,2018,Caterpillar,305E2 CRCB,,Mini Excavator,Active,0H5M07082,,"",$102.00,$415.00,"$1,680.00","$5,032.00","","",600586 / CAT 363-5819 Incline,9462,9463 / CAT 415-2593,"","","","","","","","","",
1313848162,ME5,07/21/2026,Primary,6269.0,hr,FALSE,,Manual,07/21/2026 07:26:39 AM,07/21/2026 07:26:39 AM,,2018,Caterpillar,308E2 CRCB,,Mini Excavator,Active,0FJX10204,,"",$102.00,$415.00,"$1,680.00","$5,032.00","","",9462,9463 / CAT 415-2593,"","","","","","","","","","",
1313842654,DZ4,07/21/2026,Primary,4531.0,hr,FALSE,,Manual,07/21/2026 07:17:04 AM,07/21/2026 07:17:04 AM,,2015,Caterpillar,D6K2 XLT,,Bulldozer,Active,WMR00849,,"","","","","","","","","","","","","","","","","","","",
1313832275,WL1,07/21/2026,Primary,14620.0,hr,FALSE,,Manual,07/21/2026 07:04:52 AM,07/21/2026 07:04:52 AM,,2008,John Deere,624J,,Wheel Loader,Active,DW624JZ617237,,"",$187.00,$748.00,"$3,019.00","$8,738.00","",7750S - 6 Gal,3977 / 3978,6922,6923,"","","","","","","","","",
1313777241,EX12,07/21/2026,Primary,5534.0,hr,FALSE,,Manual,07/21/2026 05:48:28 AM,07/21/2026 05:48:28 AM,,2016,Caterpillar,325FL CR,,Excavator,Active,CAT0325FEXAA00419,,"","","","","","","","","","","","","","","","","","","",
1306773979,ME9,07/15/2026,Primary,584.0,hr,FALSE,,Manual,07/15/2026 06:23:06 AM,07/15/2026 06:23:06 AM,,2025,Caterpillar,304CRCB,,Mini Excavator,Active,AN406574,,"","","","","","","","","","","","","","","","","","","",
1299070100,PU10,07/09/2026,Primary,45863.0,mi,FALSE,,Service Entry #51256118,07/10/2026 12:21:32 PM,07/10/2026 12:21:32 PM,Fleet,2024,Toyota,Tundra,Capstone HV,Pickup,Active,5TFVC5DB6RX056048,,"","","","","","","","","","","","","","","","","","","",
1296343665,WL3,07/08/2026,Primary,12738.0,hr,FALSE,,Manual,07/08/2026 06:45:29 AM,07/08/2026 06:45:29 AM,,2008,John Deere,544J,,Wheel Loader,Active,DW544JZ619585,,"",$187.00,$748.00,"$3,019.00","$8,738.00","",7750S,"3248, 3977, 3978",600104,"","","","","","","","","","",
1296340450,FL5,07/08/2026,Primary,8211.0,hr,FALSE,,Manual,07/08/2026 06:39:03 AM,07/08/2026 06:39:03 AM,,2013,JLG,G12-55A,,Forklift,Active,160048663,,"",$96.00,$550.00,"$1,536.00","$5,376.00","",7182,Fleetguard FF 63009,AF55021,AF55312,"","","","","","","","","",
1296340076,ME7,07/08/2026,Primary,5269.0,hr,FALSE,,Manual,07/08/2026 06:38:22 AM,07/08/2026 06:38:22 AM,,2018,Caterpillar,305E2 CRCB,,Mini Excavator,Active,0H5M07082,,"",$102.00,$415.00,"$1,680.00","$5,032.00","","",600586 / CAT 363-5819 Incline,9462,9463 / CAT 415-2593,"","","","","","","","","",
1296339635,BL7,07/08/2026,Primary,4760.0,hr,FALSE,,Manual,07/08/2026 06:37:53 AM,07/08/2026 06:37:53 AM,,2015,Genie,S-60X,,Boom Lift,Active,S60X15A-29786,,"","","","","","","","","","","","","","","","","","","",
1296302778,EX12,07/08/2026,Primary,5483.0,hr,FALSE,,Manual,07/08/2026 05:51:49 AM,07/08/2026 05:51:49 AM,,2016,Caterpillar,325FL CR,,Excavator,Active,CAT0325FEXAA00419,,"","","","","","","","","","","","","","","","","","","",
1296302271,ME5,07/08/2026,Primary,6246.0,hr,FALSE,,Manual,07/08/2026 05:50:47 AM,07/08/2026 05:50:47 AM,,2018,Caterpillar,308E2 CRCB,,Mini Excavator,Active,0FJX10204,,"",$102.00,$415.00,"$1,680.00","$5,032.00","","",9462,9463 / CAT 415-2593,"","","","","","","","","","",
1293989522,DT2,07/06/2026,Primary,538901.0,mi,FALSE,,Service Entry #51013674,07/06/2026 02:14:33 PM,07/06/2026 02:14:33 PM,Fleet,2006,Kenworth,T800,,Dump Truck,Active,1NKDXB0X76R138191,,"",$124.00,$497.00,"$1,980.00","$6,270.00","","","","","","","","","","","","","","",
1293989419,DT2,07/02/2026,Primary,538901.0,mi,FALSE,,Work Order #115,07/06/2026 02:14:15 PM,07/06/2026 02:14:15 PM,Fleet,2006,Kenworth,T800,,Dump Truck,Active,1NKDXB0X76R138191,,"",$124.00,$497.00,"$1,980.00","$6,270.00","","","","","","","","","","","","","","",
1293987913,ST4,06/30/2026,Primary,155786.0,mi,FALSE,,Service Entry #51013581,07/06/2026 02:10:04 PM,07/06/2026 02:10:04 PM,Fleet,2017,Ford,F-450 Super Duty,,Service Truck,Active,1FD0W4HT2HED69098,,"",$102.00,$415.00,"$1,680.00","$5,032.00","","","","","","","","","","","","","","",
